Datetime,Tweet
2021-10-25 14:20:00+00:00,Itb! Ayo alumni speedrun korupsi
2021-10-25 14:00:00+00:00,"itb! I looove myself, meskipun dia selalu gagal walaupun sudah berusaha, i looooove myself meskipun dia selalu disakiti walaupun sudah mencintai dengan tulus, and i looove myself...karena dia sudah berusaha jadi diri sendiri dan menghargai semua proses yg telah dilaluinya ehe"
2021-10-25 13:55:00+00:00,"Kecepatan healingku dan beban tugas nggak sebanding, jadi stressku bertambah secara konstan :( itb! https://t.co/4Jc8rvcbnz"
2021-10-25 13:45:00+00:00,GUE BERHASIL NGERJAIN KUIS TANPA KERJASAMA DAN OPENBOOK SENENG BGT itb!
2021-10-25 13:15:00+00:00,itb! lagi ngerasa kaya gapunya temen bgt
2021-10-25 13:00:01+00:00,"itb! tipe yang gabisa ngerjain apapun kalo ga di kosan, ngacng! ☝🏽"
2021-10-25 13:00:00+00:00,"itb! yukk ikutan workshopnya skullers insight, hari ini banget tutup registrasinya, jangan sampe ketinggalan, info lebih lanjut bisa dicek di instagram @itbinsight 😉 https://t.co/2hAm20ymzQ"
2021-10-25 12:40:00+00:00,"Mending lu semua warga itb! ziarah ke makam soekarno gih, sungkem tanya cara dapet waifu 3d bagaimana"
2021-10-25 12:40:00+00:00,rekomendasi kuliner bandung dong itb!
2021-10-25 12:30:00+00:00,itb! AAAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAA AAAAAAAAAAAAAA AAAAAAAAAAAAAAA AAAAAAAAAAAAAA AAAAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAA AAAAAAAAAAA  (cont..)
2021-10-25 11:35:00+00:00,itb! ada yg tau coffeeshop daerah dago yg buka dari pagii? thank u!
2021-10-25 11:04:58+00:00,"🗨️ Replies: 7
📎 Quoteds: 1
🔃 Retweets: 0
❤️ Likes: 13

📊 Score: 36 https://t.co/EIyMnRKkdG"
2021-10-25 11:04:58+00:00,"🗨️ Replies: 13
📎 Quoteds: 0
🔃 Retweets: 2
❤️ Likes: 10

📊 Score: 51 https://t.co/jX01UWzeiQ"
2021-10-25 11:04:58+00:00,"🗨️ Replies: 19
📎 Quoteds: 0
🔃 Retweets: 1
❤️ Likes: 10

📊 Score: 68 https://t.co/sVQYuaH0vu"
2021-10-25 11:04:57+00:00,"🗨️ Replies: 13
📎 Quoteds: 7
🔃 Retweets: 2
❤️ Likes: 21

📊 Score: 76 https://t.co/bq3vZsoRZl"
2021-10-25 11:04:57+00:00,"🗨️ Replies: 43
📎 Quoteds: 40
🔃 Retweets: 3
❤️ Likes: 22

📊 Score: 234 https://t.co/RQSjVoZXOC"
2021-10-25 11:04:57+00:00,"➖➖➖➖➖➖➖➖➖
👍 TOP 5 HIGHLIGHTS

📍 (Oct, 24 18:04 - Oct, 25 18:04)
➖➖➖➖➖➖➖➖➖"
2021-10-25 10:35:00+00:00,"itb! you should be mooooreeeee powerful than yesterday, you should be moooooree positive thinking each day, you should be the bessstttttttt everytime, you are worthy and precious!!!!!!!!!! KEEP HAPPY YOU ALL ❤❤🤛 Ganbatte kudasai, hora!!!"
2021-10-25 09:15:00+00:00,itb! gais tes toefl dimana ya? Kalo bisa jangan yg terlalu mahal :(
2021-10-25 08:05:00+00:00,"itb! manteman,  tau gak univ yang nerima mahasiswa transfer wkkw"
